Rep,Party,State,Vote
Deluzio,D,PA,Yea
DeSaulnier,D,CA,Yea
DesJarlais,R,TN,Yea
Dexter,D,OR,Yea
Diaz-Balart,R,FL,Yea
Dingell,D,MI,Yea
Doggett,D,TX,Yea
Donalds,R,FL,Nay
Downing,R,MT,Nay
Dunn (FL),R,FL,Yea
Edwards,R,NC,Yea
Elfreth,D,MD,Yea
Ellzey,R,TX,Yea
Emmer,R,MN,Yea
Escobar,D,TX,Yea
Espaillat,D,NY,Yea
Estes,R,KS,Yea
Evans (CO),R,CO,Yea
Evans (PA),D,PA,Yea
Ezell,R,MS,Yea
Fallon,R,TX,Yea
Fedorchak,R,ND,Yea
Feenstra,R,IA,Yea
Fields,D,LA,Yea
Figures,D,AL,Yea
Finstad,R,MN,Yea
Fischbach,R,MN,Yea
Fitzgerald,R,WI,Yea
Fitzpatrick,R,PA,Yea
Fleischmann,R,TN,Yea
Fletcher,D,TX,Yea
Flood,R,NE,Yea
Fong,R,CA,Yea
Foster,D,IL,Yea
Foushee,D,NC,Yea
Foxx,R,NC,Yea
"Frankel, Lois",D,FL,Yea
"Franklin, Scott",R,FL,Yea
Friedman,D,CA,Yea
Frost,D,FL,Yea
Fry,R,SC,Nay
Fulcher,R,ID,Nay
Garamendi,D,CA,Not Voting
Garbarino,R,NY,Yea
Garcia (CA),D,CA,Yea
García (IL),D,IL,Yea
Garcia (TX),D,TX,Yea
Gill (TX),R,TX,Nay
Gillen,D,NY,Yea
Gimenez,R,FL,Yea
Golden (ME),D,ME,Yea
Goldman (NY),D,NY,Yea
Goldman (TX),R,TX,Nay
Gomez,D,CA,Yea
"Gonzales, Tony",R,TX,Yea
"Gonzalez, V.",D,TX,Yea
Gooden,R,TX,Yea
Goodlander,D,NH,Yea
Gosar,R,AZ,Nay
Gottheimer,D,NJ,Yea
Graves,R,MO,Yea
Gray,D,CA,Yea
Green (TN),R,TN,Nay
"Green, Al (TX)",D,TX,Yea
Greene (GA),R,GA,Nay
Griffith,R,VA,Yea
Grijalva,D,AZ,Not Voting
Grothman,R,WI,Nay
Guest,R,MS,Yea
Guthrie,R,KY,Yea
Hageman,R,WY,Nay
Hamadeh (AZ),R,AZ,Yea
Harder (CA),D,CA,Yea
Haridopolos,R,FL,Yea
Harrigan,R,NC,Nay
Harris (MD),R,MD,Nay
Harris (NC),R,NC,Nay
Harshbarger,R,TN,Nay
Hayes,D,CT,Yea
Hern (OK),R,OK,Nay
Higgins (LA),R,LA,Nay
Hill (AR),R,AR,Yea
Himes,D,CT,Yea
Hinson,R,IA,Yea
Horsford,D,NV,Yea
Houchin,R,IN,Yea
Houlahan,D,PA,Yea
Hoyer,D,MD,Yea
Hoyle (OR),D,OR,Yea
Hudson,R,NC,Yea
Huffman,D,CA,Yea
Huizenga,R,MI,Yea
Hunt,R,TX,Nay
Hurd (CO),R,CO,Yea
Issa,R,CA,Yea
Ivey,D,MD,Yea
Jack,R,GA,Nay
Jackson (IL),D,IL,Yea
Jackson (TX),R,TX,Nay
Jacobs,D,CA,Yea
James,R,MI,Yea
Jayapal,D,WA,Not Voting
Jeffries,D,NY,Yea
Johnson (GA),D,GA,Yea
Johnson (SD),R,SD,Yea
Johnson (TX),D,TX,Yea
Jordan,R,OH,Nay
Joyce (OH),R,OH,Yea
Joyce (PA),R,PA,Yea
Kamlager-Dove,D,CA,Yea
Kaptur,D,OH,Yea
Kean,R,NJ,Yea
Keating,D,MA,Yea
Kelly (IL),D,IL,Yea
Kelly (MS),R,MS,Yea
Kelly (PA),R,PA,Yea
Kennedy (NY),D,NY,Yea
Kennedy (UT),R,UT,Nay
Khanna,D,CA,Yea
Kiggans (VA),R,VA,Yea
Kiley (CA),R,CA,Yea
Kim,R,CA,Yea
Knott,R,NC,Nay
Krishnamoorthi,D,IL,Yea
Kustoff,R,TN,Yea
LaHood,R,IL,Yea
LaLota,R,NY,Yea
LaMalfa,R,CA,Yea
Landsman,D,OH,Yea
Langworthy,R,NY,Yea
Larsen (WA),D,WA,Yea
Larson (CT),D,CT,Yea
Latimer,D,NY,Yea
Latta,R,OH,Yea
Lawler,R,NY,Yea
Lee (FL),R,FL,Yea
Lee (NV),D,NV,Yea
Lee (PA),D,PA,Yea
Leger Fernandez,D,NM,Yea
Letlow,R,LA,Yea
Levin,D,CA,Yea
Liccardo,D,CA,Yea
Lieu,D,CA,Yea
Lofgren,D,CA,Yea
Loudermilk,R,GA,Yea
Lucas,R,OK,Yea
Luna,R,FL,Yea
Luttrell,R,TX,Yea
Lynch,D,MA,Yea
Mace,R,SC,Yea
Mackenzie,R,PA,Yea
Magaziner,D,RI,Yea
Malliotakis,R,NY,Yea
Maloy,R,UT,Yea
Mann,R,KS,Yea
Mannion,D,NY,Yea
Massie,R,KY,Nay
Mast,R,FL,Nay
Matsui,D,CA,Yea
McBath,D,GA,Yea
McBride,D,DE,Yea
McCaul,R,TX,Yea
McClain,R,MI,Yea
McClain Delaney,D,MD,Yea
McClellan,D,VA,Yea
McClintock,R,CA,Yea
McCollum,D,MN,Yea
McCormick,R,GA,Nay
McDonald Rivet,D,MI,Yea
McDowell,R,NC,Nay
McGarvey,D,KY,Yea
McGovern,D,MA,Yea
McGuire,R,VA,Nay
McIver,D,NJ,Yea
Meeks,D,NY,Yea
Menendez,D,NJ,Yea
Meng,D,NY,Yea
Messmer,R,IN,Yea
Meuser,R,PA,Yea
Mfume,D,MD,Yea
Miller (IL),R,IL,Nay
Miller (OH),R,OH,Yea
Miller (WV),R,WV,Nay
Miller-Meeks,R,IA,Yea
Mills,R,FL,Nay
Min,D,CA,Yea
Moolenaar,R,MI,Yea
Moore (AL),R,AL,Nay
Moore (NC),R,NC,Yea
Moore (UT),R,UT,Yea
Moore (WI),D,WI,Yea
Moore (WV),R,WV,Yea
Moran,R,TX,Yea
Morelle,D,NY,Yea
Morrison,D,MN,Yea
Moskowitz,D,FL,Yea
Moulton,D,MA,Yea
Mrvan,D,IN,Not Voting
Mullin,D,CA,Yea
Murphy,R,NC,Yea
Nadler,D,NY,Yea
Neal,D,MA,Yea
Neguse,D,CO,Yea
Nehls,R,TX,Nay
Newhouse,R,WA,Yea
Norcross,D,NJ,Yea
Norman,R,SC,Nay
Nunn (IA),R,IA,Yea
Obernolte,R,CA,Yea
Ocasio-Cortez,D,NY,Yea
Ogles,R,TN,Nay
Olszewski,D,MD,Yea
Omar,D,MN,Yea
Onder,R,MO,Nay
Owens,R,UT,Yea
Pallone,D,NJ,Yea
Palmer,R,AL,Yea
Panetta,D,CA,Yea
Pappas,D,NH,Yea
Pelosi,D,CA,Not Voting
Perez,D,WA,Yea
Perry,R,PA,Nay
Peters,D,CA,Yea
Pettersen,D,CO,Not Voting
Pfluger,R,TX,Yea
Pingree,D,ME,Yea
Pocan,D,WI,Yea
Pou,D,NJ,Yea
Pressley,D,MA,Yea
Quigley,D,IL,Yea
Ramirez,D,IL,Yea
Randall,D,WA,Yea
Raskin,D,MD,Yea
Reschenthaler,R,PA,Yea
Riley (NY),D,NY,Not Voting
Rivas,D,CA,Yea
Rogers (AL),R,AL,Yea
Rogers (KY),R,KY,Yea
Rose,R,TN,Yea
Ross,D,NC,Yea
Rouzer,R,NC,Yea
Roy,R,TX,Nay
Ruiz,D,CA,Yea
Rulli,R,OH,Yea
Rutherford,R,FL,Yea
Ryan,D,NY,Yea
Salazar,R,FL,Yea
Salinas,D,OR,Yea
Sánchez,D,CA,Yea
Scalise,R,LA,Not Voting
Scanlon,D,PA,Yea
Schakowsky,D,IL,Yea
Schmidt,R,KS,Nay
Schneider,D,IL,Yea
Scholten,D,MI,Yea
Schrier,D,WA,Yea
Schweikert,R,AZ,Nay
Scott (VA),D,VA,Yea
"Scott, Austin",R,GA,Yea
"Scott, David",D,GA,Yea
Self,R,TX,Nay
Sessions,R,TX,Yea
Sewell,D,AL,Yea
Sherman,D,CA,Yea
Sherrill,D,NJ,Yea
Shreve,R,IN,Yea
Simon,D,CA,Yea
Simpson,R,ID,Yea
Smith (MO),R,MO,Yea
Smith (NE),R,NE,Yea
Smith (NJ),R,NJ,Yea
Smith (WA),D,WA,Yea
Smucker,R,PA,Yea
Sorensen,D,IL,Yea
Soto,D,FL,Yea
Spartz,R,IN,Yea
Stansbury,D,NM,Yea
Stanton,D,AZ,Yea
Stauber,R,MN,Yea
Stefanik,R,NY,Yea
Steil,R,WI,Yea
Steube,R,FL,Nay
Stevens,D,MI,Yea
Strickland,D,WA,Yea
Strong,R,AL,Yea
Stutzman,R,IN,Nay
Subramanyam,D,VA,Yea
Suozzi,D,NY,Yea
Swalwell,D,CA,Yea
Sykes,D,OH,Yea
Takano,D,CA,Yea
Taylor,R,OH,Yea
Tenney,R,NY,Yea
Thanedar,D,MI,Yea
Thompson (CA),D,CA,Yea
Thompson (MS),D,MS,Yea
Thompson (PA),R,PA,Yea
Tiffany,R,WI,Nay
Timmons,R,SC,Nay
Titus,D,NV,Yea
Tlaib,D,MI,Yea
Tokuda,D,HI,Yea
Tonko,D,NY,Yea
Torres (CA),D,CA,Yea
Torres (NY),D,NY,Yea
Trahan,D,MA,Yea
Tran,D,CA,Yea
Turner (OH),R,OH,Yea
Turner (TX),D,TX,Yea
Underwood,D,IL,Yea
Valadao,R,CA,Yea
Van Drew,R,NJ,Yea
Van Duyne,R,TX,Nay
Van Orden,R,WI,Yea
Vargas,D,CA,Yea
Vasquez,D,NM,Yea
Veasey,D,TX,Yea
Velázquez,D,NY,Yea
Vindman,D,VA,Yea
Wagner,R,MO,Yea
Walberg,R,MI,Yea
Wasserman Schultz,D,FL,Yea
Waters,D,CA,Yea
Watson Coleman,D,NJ,Yea
Weber (TX),R,TX,Yea
Webster (FL),R,FL,Yea
Westerman,R,AR,Yea
Whitesides,D,CA,Not Voting
Wied,R,WI,Yea
Williams (GA),D,GA,Yea
Williams (TX),R,TX,Not Voting
Wilson (FL),D,FL,Yea
Wilson (SC),R,SC,Yea
Wittman,R,VA,Yea
Womack,R,AR,Yea
Yakym,R,IN,Yea
Zinke,R,MT,Yea
